,artist_name,track_name,track_id,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
462108,Cuco,Piel Canela,7qBT9qcbtkLqrfm9LiTNB4,71,pop,0.874,0.71,7,-8.366,1,0.0482,0.188,0.000889,0.276,0.9,116.972,4
321151,Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),3c8iiZGfEammKJuWTErE5x,71,dance,0.778,0.566,2,-6.959,0,0.0311,0.672,0.000197,0.0698,0.479,117.971,4
580751,Abraham Mateo,Quiero Decirte,7dT6ccDqmMHvz5C0d8iUND,71,spanish,0.751,0.772,4,-3.853,1,0.0383,0.039,0.0,0.102,0.923,117.941,4
775350,50 Cent,Many Men (Wish Death),2I9foKseoFQh07p6sD2voE,71,hip-hop,0.653,0.826,6,-2.93,0,0.354,0.0153,0.00146,0.131,0.416,108.52,5
1000134,Angel Y Khriz,Na De Na,2Jz1X6ZB0gkkCVgmeVGVGp,71,hip-hop,0.878,0.894,6,-5.834,1,0.123,0.184,0.0,0.105,0.682,119.927,4
515810,Feid,AMOR DE MI VIDA,2C6eINAA8cO6e5a8PjnWsK,71,pop,0.735,0.674,6,-5.629,0,0.124,0.18,0.0,0.108,0.561,171.883,4
515683,Rauw Alejandro,Aquel Nap ZzZz,5bQLsyTrUaMQRfr6whwGe5,71,pop,0.457,0.495,4,-6.044,1,0.0797,0.62,0.000228,0.109,0.311,79.513,4
981707,Usher,Love in This Club (feat. Young Jeezy),5j0McHPthKpOXRr3fBq8M0,71,dance,0.573,0.712,0,-5.976,1,0.0732,0.0572,0.0,0.167,0.346,140.012,4
564191,j-hope,MORE,7GARzfC1mwhDuk4t9WOACq,71,k-pop,0.783,0.722,2,-4.864,1,0.0357,0.00537,0.00209,0.105,0.306,97.031,4
576580,Clayton & Romário,Que Faculdade Cê Faz? - Ao Vivo,6izCSgYDSUTThIXzEIMAlC,71,sertanejo,0.672,0.919,2,-3.424,1,0.213,0.436,0.0,0.772,0.686,139.883,4
313903,Leon Bridges,Beyond,1Omt5bfz1tZUCqd26HxbS0,71,blues,0.581,0.687,6,-5.4,1,0.105,0.229,0.0,0.109,0.187,76.014,4
515621,Taylor Swift,Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version),2RJnNdu4pb3MypbBroHU0T,71,pop,0.41,0.312,7,-11.01,1,0.0269,0.783,6.36e-06,0.0783,0.22,144.751,4
316538,Shiloh Dynasty,Again,5e2l2ZAMwHmrkdM4Z6NhAR,71,chill,0.603,0.204,7,-12.727,0,0.112,0.479,0.0714,0.642,0.71,74.688,5
515625,Taylor Swift,Fearless (Taylor’s Version),77sMIMlNaSURUAXq5coCxE,71,pop,0.569,0.741,5,-4.963,1,0.0282,0.0122,0.0,0.333,0.43,100.118,4
576572,Hugo & Guilherme,Mal Feito - Ao Vivo,6Zw25LRLP0j0MsezDFIUM4,71,sertanejo,0.732,0.831,0,-3.791,0,0.0691,0.554,0.0,0.903,0.684,123.942,4
316547,Kiana Ledé,Wicked Games,0TYhf0MgEj4YJaKwo5c4Km,71,chill,0.789,0.435,1,-7.042,0,0.0599,0.447,0.0,0.135,0.456,72.973,3
515629,Taylor Swift,All Too Well (Taylor's Version),3nsfB1vus2qaloUdcBZvDu,71,pop,0.44,0.528,0,-7.809,1,0.0317,0.0171,0.00203,0.234,0.132,185.972,4
576578,Luan Santana,ABALO EMOCIONAL - Ao Vivo,53RxHysDJ0cjugMcPymwja,71,sertanejo,0.441,0.915,3,-4.096,0,0.112,0.306,0.0,0.252,0.726,185.936,4
224484,Fifth Harmony,That's My Girl,2ACOWPLUe4A4KuQ5ioD2od,71,dance,0.596,0.851,5,-4.245,0,0.121,0.0358,3.19e-05,0.365,0.612,202.049,4
223574,Jon Pardi,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,71,country,0.596,0.834,9,-4.308,1,0.0474,0.0563,0.0,0.0866,0.618,116.0,4
466617,T3R Elemento,Ojitos de Miel,3V1jBnDI3zCn25ONFiqwN8,71,sad,0.473,0.448,9,-9.35,1,0.0378,0.709,0.0,0.104,0.6,189.195,3
